Front,Back,Source,Tags
Electronvolt,A unit of energy equal to the kinetic energy gained by one electron accelerated through a potential difference of one volt.,"WikiPremed (CC BY-NC-SA) - Work, Energy & Power - https://www.wikipremed.com/mcat_course_code-010103.html",MCAT::ChemPhys MCAT::ChemPhys::Work_Energy_Power source::WikiPremed
Photoelectric effect,A quantum phenomenon in which electrons are emitted from matter after absorbing energy from electromagnetic radiation.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Work function,The minimum energy needed to remove an electron from a solid to a point just outside its surface.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Planck constant,A physical constant that sets the scale of quanta and relates a photon's energy to its frequency; central to quantum mechanics.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
de Broglie hypothesis,The statement that all matter has a wave-like nature (wave-particle duality).,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Heisenberg uncertainty principle,There is a lower bound on the product of the uncertainties in a particle's position and momentum; both cannot be arbitrarily well-defined at once.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Compton scattering,The decrease in energy (increase in wavelength) of an X-ray or gamma-ray photon when it scatters off matter.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Mass-energy equivalence,The concept that any mass has an associated energy and vice versa (E = mc^2).,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Planck's law,Describes the spectral radiance of electromagnetic radiation emitted by a blackbody at a given temperature.,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Electron diffraction,A technique that studies matter by firing electrons at a sample and observing the resulting interference pattern (evidence of electron wave nature).,WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Quantum theory,"The branch of physics based on quantization, begun in 1900 when Planck explained the emission spectrum of black bodies.",WikiPremed (CC BY-NC-SA) - Modern Physics & Atomic Theory - https://www.wikipremed.com/mcat_course_code-010601.html,MCAT::ChemPhys MCAT::ChemPhys::Modern_Physics_Atomic_Theory source::WikiPremed
Acid,"A compound that, dissolved in water, gives a solution with pH below 7; more generally, a proton donor.",WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Base,A substance that can accept protons.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
pH,A measure of the acidity or alkalinity of a solution.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Strong acid,An acid that dissociates completely in aqueous solution.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Weak acid,An acid that does not ionize in solution to a significant extent.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Weak base,A base that does not ionize fully in aqueous solution.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Lewis acid,A species that can accept a pair of electrons to form a coordinate covalent bond.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Lewis base,A species that can donate a pair of electrons to form a coordinate covalent bond.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Acid dissociation constant (Ka),The equilibrium constant for the dissociation of a weak acid.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Buffer solution,"A solution that resists changes in pH upon addition of small amounts of acid or base, or upon dilution.",WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Acid-base titration,A volumetric method to determine the concentration of an unknown acid or base via a neutralization reaction.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Equivalence point,The point in a titration where the amount of titrant added equals the amount of analyte present.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Neutralization,A reaction in which an acid and a base react to produce a salt and water.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Hydronium,The cation (H3O+) derived from protonation of water.,WikiPremed (CC BY-NC-SA) - Acids & Bases - https://www.wikipremed.com/mcat_course_code-021200.html,MCAT::ChemPhys MCAT::ChemPhys::Acids_Bases source::WikiPremed
Amino acid,A molecule containing both amine and carboxyl functional groups; the building block of proteins.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Peptide bond,"The bond formed when the carboxyl group of one amino acid reacts with the amino group of another, releasing water.",WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Protein,A large polymer of amino acids joined in a linear chain by peptide bonds.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Primary structure,"The exact amino-acid sequence of a protein, including its atoms, bonds, and stereochemistry.",WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Secondary structure,"The local three-dimensional forms of segments of a protein, such as alpha helices and beta sheets.",WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Tertiary structure,The overall three-dimensional structure of a single protein molecule.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Quaternary structure,The arrangement of multiple folded protein subunits in a multi-subunit complex.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Alpha helix,A common secondary-structure motif: a right-handed coil in which each backbone N-H hydrogen-bonds to the carbonyl four residues earlier.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Beta sheet,A secondary structure of strands connected laterally by hydrogen bonds into a pleated sheet.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Active site,The region of an enzyme that contains the catalytic and binding sites.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Competitive inhibition,Enzyme inhibition in which the inhibitor binds the active site and prevents substrate binding (apparent Km rises; Vmax unchanged).,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Non-competitive inhibition,Inhibition that lowers the maximum rate (Vmax) without changing the substrate's apparent binding affinity (Km).,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Isoelectric point,The pH at which a molecule carries no net electrical charge.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Zwitterion,A molecule that is electrically neutral overall but carries both positive and negative formal charges on different atoms.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
Disulfide bond,A covalent bond formed by coupling two thiol groups; stabilizes protein tertiary structure.,WikiPremed (CC BY-NC-SA) - Amino Acids & Protein Structure - https://www.wikipremed.com/mcat_course_code-040101.html,MCAT::BioBiochem MCAT::BioBiochem::Amino_Acids_Protein_Structure source::WikiPremed
DNA,A nucleic acid that contains the genetic instructions used in the development and functioning of living organisms.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
RNA,A nucleic acid polymer of nucleotides that helps translate genetic information from DNA into proteins.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Nucleotide,"A compound consisting of a nitrogenous base, a sugar, and one or more phosphate groups.",WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Nucleoside,A nitrogenous base attached to a ribose or deoxyribose sugar (no phosphate group).,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Base pair,Two complementary nucleotides on opposite nucleic-acid strands joined by hydrogen bonds.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Purine,A double-ring nitrogenous base (adenine and guanine).,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Pyrimidine,"A single-ring nitrogenous base (cytosine, thymine, and uracil).",WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Messenger RNA (mRNA),An RNA molecule encoding the chemical blueprint for a protein product.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Transfer RNA (tRNA),A small RNA that delivers a specific amino acid to the ribosome during translation.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Ribosomal RNA (rRNA),RNA synthesized in the nucleolus that is the central component of the ribosome.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Adenosine triphosphate (ATP),A nucleotide that serves as the main molecular currency of intracellular energy transfer.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Chromatin,The complex of DNA and protein that makes up chromosomes.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Histone,"A chief protein component of chromatin, acting as a spool around which DNA winds and playing a role in gene regulation.",WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Complementarity,The property of double-stranded nucleic acids in which base pairs form between strands via hydrogen bonds.,WikiPremed (CC BY-NC-SA) - Nucleic Acids - https://www.wikipremed.com/mcat_course_code-040103.html,MCAT::BioBiochem MCAT::BioBiochem::Nucleic_Acids source::WikiPremed
Neuron,An electrically excitable cell that processes and transmits information in the nervous system.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Central nervous system,"The largest part of the nervous system, comprising the brain and the spinal cord.",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Peripheral nervous system,"The part of the nervous system outside the brain and spinal cord, serving the limbs and organs.",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Action potential,A spike of electrical discharge that travels along the membrane of a cell.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Resting potential,The membrane potential of a cell when there are no action potentials or other active changes.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Membrane potential,The electrical voltage across a cell's plasma membrane.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Depolarization,A decrease in the absolute value of a cell's membrane potential.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Sympathetic nervous system,The branch of the autonomic nervous system that becomes more active during stress (fight-or-flight).,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Parasympathetic nervous system,"The autonomic branch that, in opposition to the sympathetic system, governs rest-and-digest functions.",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Somatic nervous system,The peripheral branch associated with voluntary control of body movement and reception of external stimuli.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Autonomic nervous system,The peripheral branch that acts as a control system maintaining homeostasis (involuntary).,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Neurotransmitter,"A chemical used to relay, amplify, and modulate signals between a neuron and another cell.",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Chemical synapse,A specialized junction where neurons use neurotransmitters to signal to other cells.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Myelin,An electrically insulating phospholipid layer that surrounds the axons of many neurons.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Saltatory conduction,"The means by which action potentials are transmitted along myelinated fibers, jumping between nodes of Ranvier.",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Acetylcholine,"The first neurotransmitter identified; acts in both the peripheral and central nervous systems (e.g., at the neuromuscular junction).",WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
Fight-or-flight response,An animal's reaction to a threat via a general discharge of the sympathetic nervous system.,WikiPremed (CC BY-NC-SA) - Nervous System - https://www.wikipremed.com/mcat_course_code-040701.html,MCAT::PsychSoc MCAT::PsychSoc::Nervous_System source::WikiPremed
