#separator:Comma
#html:false
#notetype:Basic
#deck:MCAT::BioBiochem
#columns:Front,Back,Tags
#tags column:3
"What is the difference between a cofactor and a coenzyme?","Both assist catalysis; cofactors are typically inorganic ions (e.g., Zn2+), coenzymes are organic molecules (often vitamin-derived, e.g., NAD+).","MCAT::BioBiochem::1A::Enzymes"
"What type of enzyme regulation involves an end product binding a site distinct from the active site to reduce activity?","Allosteric feedback inhibition.","MCAT::BioBiochem::1A::Enzymes"
"DNA strands run in what orientation relative to each other?","Antiparallel: one strand runs 5' to 3' while its complement runs 3' to 5'.","MCAT::BioBiochem::1B::DNA concept::dna_antiparallel paraphrase::source"
"In which direction does a polymerase synthesize a new nucleic acid strand?","5' to 3' (it adds nucleotides to the free 3'-OH).","MCAT::BioBiochem::1B::Replication concept::transcription_direction paraphrase::source"
"During DNA replication, why is one strand synthesized discontinuously?","Because polymerase only works 5'->3'; the lagging strand is made in Okazaki fragments later joined by DNA ligase.","MCAT::BioBiochem::1B::Replication"
"What enzyme unwinds the DNA double helix at the replication fork?","Helicase.","MCAT::BioBiochem::1B::Replication"
"What is meant by the genetic code being 'degenerate'?","Most amino acids are specified by more than one codon, so a base change (often in the 3rd position) may not change the amino acid.","MCAT::BioBiochem::1B::Translation concept::codon_degeneracy paraphrase::source"
"Where does transcription occur in a eukaryotic cell, and where does translation occur?","Transcription in the nucleus; translation in the cytoplasm (on ribosomes).","MCAT::BioBiochem::1B::Translation"
"What three processing steps modify eukaryotic pre-mRNA before export?","5' cap addition, 3' poly-A tail addition, and splicing out of introns.","MCAT::BioBiochem::1B::Translation"
"A point mutation that changes a codon to a stop codon is called what?","A nonsense mutation.","MCAT::BioBiochem::1B::Mutation"
"What is the difference between a missense and a silent mutation?","Missense changes the encoded amino acid; silent changes the codon but not the amino acid (due to degeneracy).","MCAT::BioBiochem::1B::Mutation"
"In a dihybrid cross of two heterozygotes (AaBb x AaBb), what is the expected phenotypic ratio?","9:3:3:1 (assuming independent assortment and complete dominance).","MCAT::BioBiochem::1C::Genetics"
"What does Mendel's law of independent assortment state?","Alleles of different genes assort independently during gamete formation (for genes on different chromosomes).","MCAT::BioBiochem::1C::Genetics"
"How does crossing over increase genetic diversity?","Homologous chromosomes exchange segments during prophase I, producing recombinant allele combinations.","MCAT::BioBiochem::1C::Genetics"
"Under Hardy-Weinberg equilibrium, what are the genotype frequencies given allele frequencies p and q?","p^2 (homozygous dominant) + 2pq (heterozygous) + q^2 (homozygous recessive) = 1.","MCAT::BioBiochem::1C::PopulationGenetics"
"What is the net ATP and NADH yield of glycolysis per glucose?","Net 2 ATP (4 made, 2 used) and 2 NADH; produces 2 pyruvate.","MCAT::BioBiochem::1D::Glycolysis concept::glycolysis_atp paraphrase::source"
"Where does the citric acid (Krebs) cycle occur in eukaryotes?","The mitochondrial matrix.","MCAT::BioBiochem::1D::Metabolism"
"What is the final electron acceptor of the electron transport chain, and what does it form?","Molecular oxygen (O2), which is reduced to water.","MCAT::BioBiochem::1D::OxPhos concept::oxidative_phosphorylation paraphrase::source"
"What directly powers ATP synthase during oxidative phosphorylation?","The proton-motive force: the H+ electrochemical gradient across the inner mitochondrial membrane.","MCAT::BioBiochem::1D::OxPhos"
"Under anaerobic conditions in humans, what is pyruvate converted to and why?","Lactate (by lactate dehydrogenase) to regenerate NAD+ so glycolysis can continue.","MCAT::BioBiochem::1D::Fermentation"
"Which metabolic process builds glucose from non-carbohydrate precursors, and where?","Gluconeogenesis, primarily in the liver (cytoplasm and mitochondria).","MCAT::BioBiochem::1D::Metabolism"
"What is the primary energy-storage molecule in animals vs. the structural polysaccharide in plants?","Glycogen stores energy in animals; cellulose is structural in plants (both are glucose polymers).","MCAT::BioBiochem::1D::Carbohydrates"
"What distinguishes the glycosidic linkage in cellulose from that in starch?","Cellulose uses beta-1,4 linkages (indigestible to humans); starch uses alpha-1,4 (and alpha-1,6 branches).","MCAT::BioBiochem::1D::Carbohydrates"
"Describe the fluid mosaic model of the plasma membrane.","A phospholipid bilayer with embedded, laterally mobile proteins; lipids and proteins diffuse within the plane of the membrane.","MCAT::BioBiochem::2A::Membrane"
"How does cholesterol affect membrane fluidity at high vs. low temperature?","It buffers fluidity: at high temp it restrains movement (decreasing fluidity); at low temp it prevents tight packing (increasing fluidity).","MCAT::BioBiochem::2A::Membrane concept::membrane_fluidity paraphrase::source"
"What distinguishes passive diffusion from facilitated diffusion?","Both move down a concentration gradient without ATP; facilitated diffusion requires a membrane transport protein.","MCAT::BioBiochem::2A::Transport"
"What is the ion stoichiometry and direction of the Na+/K+ ATPase per cycle?","3 Na+ out, 2 K+ in, using 1 ATP; it maintains the resting membrane gradients.","MCAT::BioBiochem::2A::Transport concept::sodium_potassium_pump paraphrase::source"
"Define primary vs. secondary active transport.","Primary uses ATP directly (e.g., Na+/K+ ATPase); secondary uses an existing ion gradient to drive another solute (e.g., Na+-glucose symport).","MCAT::BioBiochem::2A::Transport"
"In which direction does water move across a membrane during osmosis?","Toward the region of higher solute concentration (lower water potential).","MCAT::BioBiochem::2A::Transport"
"Which organelle is the site of aerobic respiration and has its own DNA?","The mitochondrion.","MCAT::BioBiochem::2A::Organelles"
"What is the role of the rough endoplasmic reticulum?","Synthesis and folding of proteins destined for secretion or membranes (studded with ribosomes).","MCAT::BioBiochem::2A::Organelles"
"How does mitosis differ from meiosis in ploidy and number of divisions?","Mitosis: one division, two diploid identical cells. Meiosis: two divisions, four haploid genetically varied cells.","MCAT::BioBiochem::2C::CellDivision concept::mitosis_meiosis paraphrase::source"
"During which phase of the cell cycle is DNA replicated?","S phase (synthesis) of interphase.","MCAT::BioBiochem::2C::CellCycle"
"What checkpoint ensures DNA is undamaged before the cell commits to division?","The G1/S checkpoint (the restriction point), regulated by p53 among others.","MCAT::BioBiochem::2C::CellCycle"
"When do sister chromatids separate: anaphase of mitosis, meiosis I, or meiosis II?","Mitosis anaphase and meiosis II (in meiosis I, homologous chromosomes separate instead).","MCAT::BioBiochem::2C::CellDivision"
"What is the difference between a stem cell's potency: totipotent vs. pluripotent?","Totipotent can form any cell type plus extraembryonic tissue; pluripotent can form any of the three germ layers but not extraembryonic tissue.","MCAT::BioBiochem::2C::Differentiation"
"What ion influx triggers neurotransmitter release at the axon terminal?","Calcium (Ca2+) influx through voltage-gated channels.","MCAT::BioBiochem::3A::Neuron"
"What maintains the resting membrane potential of about -70 mV in neurons?","K+ leak channels (membrane most permeable to K+) plus the Na+/K+ ATPase.","MCAT::BioBiochem::3A::Neuron"
"What causes the depolarizing (rising) phase of a neuronal action potential?","Opening of voltage-gated Na+ channels causing Na+ influx.","MCAT::BioBiochem::3A::ActionPotential"
"What is saltatory conduction?","Action potentials 'jumping' between nodes of Ranvier along myelinated axons, increasing conduction speed.","MCAT::BioBiochem::3A::Neuron"
"Which endocrine gland releases hormones that regulate the anterior pituitary?","The hypothalamus (via releasing/inhibiting hormones).","MCAT::BioBiochem::3A::Endocrine"
"Contrast the speed and duration of nervous vs. endocrine signaling.","Nervous signaling is fast and short-lived (electrical/synaptic); endocrine signaling is slower and longer-lasting (hormones via blood).","MCAT::BioBiochem::3A::Endocrine"
"Which hormone lowers blood glucose, and which raises it?","Insulin lowers blood glucose; glucagon raises it (both from pancreatic islets).","MCAT::BioBiochem::3A::Endocrine"
"Trace the path of blood through the heart starting at the right atrium.","Right atrium -> right ventricle -> pulmonary arteries -> lungs -> pulmonary veins -> left atrium -> left ventricle -> aorta.","MCAT::BioBiochem::3B::Circulation"
"Where does gas exchange occur in the lungs, and by what process?","In the alveoli, by simple diffusion down partial-pressure gradients.","MCAT::BioBiochem::3B::Respiration"
"What is the functional unit of the kidney?","The nephron.","MCAT::BioBiochem::3B::Renal"
"In the nephron, where does most water and solute reabsorption occur?","The proximal convoluted tubule.","MCAT::BioBiochem::3B::Renal"
"Which part of the nephron is acted on by antidiuretic hormone (ADH) to conserve water?","The collecting duct (ADH increases its water permeability).","MCAT::BioBiochem::3B::Renal"
"What enzyme begins starch digestion, and where?","Salivary amylase, in the mouth.","MCAT::BioBiochem::3B::Digestion"
"What is the role of bile in digestion, and where is it produced/stored?","Bile emulsifies fats (increasing surface area for lipase); produced by the liver, stored in the gallbladder.","MCAT::BioBiochem::3B::Digestion"
"Which blood cells carry oxygen, and via what protein?","Erythrocytes (red blood cells), via hemoglobin.","MCAT::BioBiochem::3B::Blood"
"What shift in the oxygen-hemoglobin dissociation curve does increased CO2/H+ cause, and what is it called?","A rightward shift (decreased O2 affinity), the Bohr effect, favoring O2 unloading in active tissue.","MCAT::BioBiochem::3B::Respiration"
"What type of immunity do B-cell antibodies provide, and what do T cells provide?","B cells provide humoral (antibody-mediated) immunity; T cells provide cell-mediated immunity.","MCAT::BioBiochem::3B::Immune"
"What distinguishes innate from adaptive immunity?","Innate is fast and nonspecific (barriers, phagocytes); adaptive is slower, specific, and has memory.","MCAT::BioBiochem::3B::Immune"
"What hormone from the adrenal medulla drives the acute 'fight-or-flight' response?","Epinephrine (adrenaline).","MCAT::BioBiochem::3A::Endocrine"
"What is negative feedback in a physiological system?","A response that opposes the initial change to restore a set point (e.g., insulin lowering high blood glucose).","MCAT::BioBiochem::3B::Homeostasis"
"Which muscle type is striated, multinucleated, and under voluntary control?","Skeletal muscle.","MCAT::BioBiochem::3B::Muscle"
"In the sliding filament model, which protein heads bind actin to generate force?","Myosin heads (cross-bridges), powered by ATP hydrolysis.","MCAT::BioBiochem::3B::Muscle"
