#separator:Comma
#html:false
#notetype:Basic
#deck:MCAT::ChemPhys
#columns:Front,Back,Tags
#tags column:3
"State Ohm's law and the unit of resistance.","V = I*R; resistance in ohms.","MCAT::ChemPhys::4C::Circuits concept::ohms_law paraphrase::source"
"How do resistances add in series vs. in parallel?","Series: R_total = R1 + R2 + ... Parallel: 1/R_total = 1/R1 + 1/R2 + ... (parallel total is less than the smallest).","MCAT::ChemPhys::4C::Circuits"
"In a series circuit, what is the same through every element; in parallel, what is the same across every branch?","Current is the same through series elements; voltage is the same across parallel branches.","MCAT::ChemPhys::4C::Circuits"
"Write the formula for electrical power dissipated by a resistor.","P = IV = I^2*R = V^2/R.","MCAT::ChemPhys::4C::Circuits"
"In a galvanic (voltaic) cell, oxidation occurs at which electrode and reduction at which?","Oxidation at the anode, reduction at the cathode ('an ox, red cat'); electrons flow anode to cathode.","MCAT::ChemPhys::4C::Electrochem"
"What is the sign of the cell potential (E_cell) and Gibbs free energy for a spontaneous galvanic cell?","E_cell is positive and dG is negative (dG = -nFE).","MCAT::ChemPhys::4C::Electrochem"
"How does charge stored on a capacitor relate to voltage?","Q = C*V (capacitance C in farads).","MCAT::ChemPhys::4C::Circuits"
"What defines the half-life of a first-order or nuclear decay process?","The constant time for half the remaining quantity to decay; it is independent of the starting amount.","MCAT::ChemPhys::4E::NuclearDecay concept::half_life paraphrase::source"
"How do alpha, beta-minus, and gamma decay change an atom?","Alpha: loses 2 protons + 2 neutrons (He nucleus). Beta-minus: a neutron becomes a proton + emitted electron (Z increases by 1). Gamma: emits a photon, no change in Z or A.","MCAT::ChemPhys::4E::NuclearDecay"
"What do the four quantum numbers (n, l, m_l, m_s) describe?","n = shell/energy; l = subshell shape; m_l = orbital orientation; m_s = electron spin.","MCAT::ChemPhys::4E::AtomicStructure"
"State the Pauli exclusion principle and Hund's rule.","Pauli: no two electrons share all four quantum numbers. Hund: degenerate orbitals fill singly with parallel spins before pairing.","MCAT::ChemPhys::4E::AtomicStructure"
"How do atomic radius and electronegativity trend across a period (left to right)?","Atomic radius decreases; electronegativity increases.","MCAT::ChemPhys::4E::PeriodicTrends"
"What is the photoelectric effect evidence for?","The particle (photon) nature of light: electrons are ejected only above a threshold frequency, regardless of intensity.","MCAT::ChemPhys::4E::QuantumPhenomena"
"Calculate the pH of a 0.01 M solution of a strong monoprotic acid.","pH = -log[H+] = -log(0.01) = 2 (strong acids fully dissociate).","MCAT::ChemPhys::5A::AcidBase concept::ph_strong_acid paraphrase::source"
"Write the Henderson-Hasselbalch equation and what it tells you when pH = pKa.","pH = pKa + log([A-]/[HA]); when pH = pKa, [A-] = [HA] and buffering is maximal.","MCAT::ChemPhys::5A::Buffers concept::buffer_henderson paraphrase::source"
"What makes a solution a good buffer?","Comparable concentrations of a weak acid and its conjugate base, near the acid's pKa; it resists pH change on adding small amounts of acid/base.","MCAT::ChemPhys::5A::Buffers"
"Define Ksp and what it predicts.","The solubility product, the equilibrium constant for a salt dissolving; if the ion product Q exceeds Ksp, precipitation occurs.","MCAT::ChemPhys::5A::Solubility"
"What is the relationship between Ka and Kb for a conjugate acid-base pair in water?","Ka * Kb = Kw = 1.0e-14 at 25 C, so pKa + pKb = 14.","MCAT::ChemPhys::5A::AcidBase"
"How do colligative properties (e.g., boiling point elevation) depend on solute?","They depend on the number of dissolved particles, not their identity (e.g., NaCl gives ~2 particles per formula unit).","MCAT::ChemPhys::5A::Solutions"
"Why does water have an unusually high boiling point for its molar mass?","Extensive hydrogen bonding between molecules requires extra energy to separate.","MCAT::ChemPhys::5B::IntermolecularForces"
"Rank the relative strength of hydrogen bonding, dipole-dipole, and London dispersion forces.","Hydrogen bonding > dipole-dipole > London dispersion (though dispersion grows large with size/polarizability).","MCAT::ChemPhys::5B::IntermolecularForces"
"Hydrogen bonds form when H is bonded to which three highly electronegative atoms?","Nitrogen, oxygen, or fluorine (N, O, F).","MCAT::ChemPhys::5B::Bonding"
"Predict the geometry and bond angle of a molecule with four bonding pairs and no lone pairs (VSEPR).","Tetrahedral, ~109.5 degrees.","MCAT::ChemPhys::5B::VSEPR"
"What is the hybridization of a carbon with a double bond (e.g., in an alkene)?","sp2 (one s + two p orbitals), trigonal planar around that carbon.","MCAT::ChemPhys::5B::Bonding"
"Distinguish a sigma bond from a pi bond.","Sigma forms by head-on orbital overlap (single bonds, free rotation); pi forms by side-on overlap (in double/triple bonds, restricts rotation).","MCAT::ChemPhys::5B::Bonding"
"Compare the rate law and stereochemistry of SN1 vs. SN2 reactions.","SN1: unimolecular, rate = k[substrate], carbocation intermediate, racemization, favored by tertiary substrates. SN2: bimolecular, rate = k[substrate][nucleophile], backside attack with inversion, favored by primary substrates.","MCAT::ChemPhys::5D::Substitution concept::sn1_sn2 paraphrase::source"
"What conditions favor E2 elimination?","Strong, bulky base; often higher temperature; concerted single step with anti-periplanar geometry, forming the more substituted (Zaitsev) alkene.","MCAT::ChemPhys::5D::Elimination"
"What functional group results from oxidizing a primary alcohol fully?","A carboxylic acid (aldehyde is the partial-oxidation intermediate).","MCAT::ChemPhys::5D::FunctionalGroups"
"Rank carbonyl reactivity toward nucleophilic addition: aldehyde vs. ketone.","Aldehydes are more reactive than ketones (less steric hindrance and less electron donation to the carbonyl carbon).","MCAT::ChemPhys::5D::Carbonyl"
"What are enantiomers vs. diastereomers?","Enantiomers are nonsuperimposable mirror images (opposite at all stereocenters); diastereomers differ at some but not all stereocenters and are not mirror images.","MCAT::ChemPhys::5D::Stereochemistry"
"What does a chiral molecule do to plane-polarized light?","It rotates the plane of polarization (it is optically active); enantiomers rotate it equally in opposite directions.","MCAT::ChemPhys::5D::Stereochemistry"
"In IUPAC priority for naming, which functional group outranks: carboxylic acid, alcohol, or ketone?","Carboxylic acid > ketone > alcohol (carboxylic acid is highest priority among these).","MCAT::ChemPhys::5D::Nomenclature"
"What is a racemic mixture and its optical activity?","A 1:1 mixture of two enantiomers; it is optically inactive (rotations cancel).","MCAT::ChemPhys::5D::Stereochemistry"
"How does a catalyst affect activation energy, reaction rate, and the equilibrium constant?","It lowers activation energy and speeds the forward and reverse rates equally, so it does NOT change Keq or dG.","MCAT::ChemPhys::5E::Catalysis concept::catalyst_keq paraphrase::source"
"By Le Chatelier's principle, how does adding a reactant shift an equilibrium?","The equilibrium shifts toward the products (to consume the added reactant).","MCAT::ChemPhys::5E::Equilibrium concept::le_chatelier paraphrase::source"
"Write the Gibbs free energy equation and the sign of dG for a spontaneous process.","dG = dH - T*dS; spontaneous when dG < 0.","MCAT::ChemPhys::5E::Thermodynamics"
"What combination of dH and dS makes a reaction spontaneous at all temperatures?","Exothermic (dH < 0) and increasing entropy (dS > 0).","MCAT::ChemPhys::5E::Thermodynamics"
"What does the rate-determining step of a reaction determine?","The overall reaction rate and the form of the rate law (it is the slowest elementary step).","MCAT::ChemPhys::5E::Kinetics"
"How does increasing temperature affect reaction rate, per the Arrhenius relationship?","It increases the rate by giving more molecules energy above the activation energy (more effective collisions).","MCAT::ChemPhys::5E::Kinetics"
"What is the difference between the thermodynamic and kinetic product of a reaction?","The thermodynamic product is the most stable (favored at high temp/long time); the kinetic product forms fastest (favored at low temp/short time).","MCAT::ChemPhys::5E::Kinetics"
"Define an exothermic reaction in terms of enthalpy and heat flow.","dH < 0; heat is released to the surroundings.","MCAT::ChemPhys::5E::Thermodynamics"
"What is Hess's law?","The enthalpy change of an overall reaction equals the sum of the enthalpy changes of its steps (enthalpy is a state function).","MCAT::ChemPhys::5E::Thermodynamics"
"For a reaction at equilibrium, what is the value of dG (not dG-standard)?","dG = 0 at equilibrium.","MCAT::ChemPhys::5E::Equilibrium"
"How is the equilibrium constant K related to standard Gibbs free energy?","dG-standard = -RT ln K; K > 1 implies dG-standard < 0 (products favored).","MCAT::ChemPhys::5E::Equilibrium"
"What is the oxidation state of oxygen in most compounds, and the exception in peroxides?","Usually -2; in peroxides it is -1.","MCAT::ChemPhys::4E::Redox"
"In a redox reaction, what happens to the oxidizing agent?","It is reduced (it gains electrons) while causing the other species to be oxidized.","MCAT::ChemPhys::4C::Electrochem"
"What is specific heat capacity?","The heat required to raise 1 gram of a substance by 1 degree Celsius (q = m*c*dT).","MCAT::ChemPhys::5E::Thermodynamics"
"State Coulomb's law qualitatively.","The electrostatic force between two charges is proportional to the product of charges and inversely proportional to the square of the distance between them.","MCAT::ChemPhys::4C::Electrostatics"
"What is the relationship between frequency, wavelength, and speed for a wave?","v = f * lambda (speed equals frequency times wavelength).","MCAT::ChemPhys::4A::Waves"
